sku_id,name,pair_sku_id,side,arm_type,is_boxed,length_cm,width_cm,height_cm,weight_kg,unit_volume_l,effective_volume_l,rotation,effective_rotation,sales_median_6m,target_stock_qty,batch_weight_kg,batch_volume_l
SKU-1000-LH,Важіль curved LH (R1),SKU-1000-RH,LH,curved,False,41.2,18.8,8.6,1.88,6.66,2.8,R1,R1,31.6,48,90.2,134.4
SKU-1000-RH,Важіль curved RH (R1),SKU-1000-LH,RH,curved,False,41.2,18.8,8.6,1.88,6.66,2.8,R1,R1,33.8,51,95.9,142.8
SKU-1001-LH,Важіль straight_link LH (R1),SKU-1001-RH,LH,straight_link,False,27.9,4.1,7.4,1.23,0.85,0.24,R1,R1,33.0,50,61.5,12.0
SKU-1001-RH,Важіль straight_link RH (R1),SKU-1001-LH,RH,straight_link,False,27.9,4.1,7.4,1.23,0.85,0.24,R1,R1,33.0,50,61.5,12.0
SKU-1002-LH,Важіль trailing LH (R1),SKU-1002-RH,LH,trailing,False,65.6,8.2,6.2,3.38,3.34,1.27,R1,R1,32.0,48,162.2,61.0
SKU-1002-RH,Важіль trailing RH (R1),SKU-1002-LH,RH,trailing,False,65.6,8.2,6.2,3.38,3.34,1.27,R1,R1,32.2,49,165.6,62.2
SKU-1003-LH,Важіль straight_link LH (R1),SKU-1003-RH,LH,straight_link,False,29.0,4.7,5.8,0.99,0.79,0.22,R1,R1,31.1,47,46.5,10.3
SKU-1003-RH,Важіль straight_link RH (R1),SKU-1003-LH,RH,straight_link,False,29.0,4.7,5.8,0.99,0.79,0.22,R1,R1,30.0,45,44.5,9.9
SKU-1004-LH,Важіль a_shaped LH (R1),SKU-1004-RH,LH,a_shaped,True,51.2,41.5,13.5,4.57,28.68,30.11,R1,R1,32.2,49,223.9,1475.4
SKU-1004-RH,Важіль a_shaped RH (R1),SKU-1004-LH,RH,a_shaped,True,51.2,41.5,13.5,4.57,28.68,30.11,R1,R1,31.6,48,219.4,1445.3
SKU-1005-LH,Важіль curved LH (R1),SKU-1005-RH,LH,curved,False,33.9,10.4,10.5,2.07,3.7,1.55,R1,R1,41.3,62,128.3,96.1
SKU-1005-RH,Важіль curved RH (R1),SKU-1005-LH,RH,curved,False,33.9,10.4,10.5,2.07,3.7,1.55,R1,R1,42.0,63,130.4,97.7
SKU-1006-LH,Важіль a_shaped LH (R1),SKU-1006-RH,LH,a_shaped,False,39.0,41.5,13.2,6.61,21.36,11.11,R1,R1,46.5,70,462.7,777.7
SKU-1006-RH,Важіль a_shaped RH (R1),SKU-1006-LH,RH,a_shaped,False,39.0,41.5,13.2,6.61,21.36,11.11,R1,R1,47.7,72,475.9,799.9
SKU-1007-LH,Важіль straight_link LH (R1),SKU-1007-RH,LH,straight_link,False,20.7,4.2,5.1,0.79,0.44,0.12,R1,R1,35.8,54,42.7,6.5
SKU-1007-RH,Важіль straight_link RH (R1),SKU-1007-LH,RH,straight_link,False,20.7,4.2,5.1,0.79,0.44,0.12,R1,R1,34.5,52,41.1,6.2
SKU-1008-LH,Важіль trailing LH (R1),SKU-1008-RH,LH,trailing,False,66.1,6.7,8.2,2.26,3.63,1.38,R1,R1,48.8,74,167.2,102.1
SKU-1008-RH,Важіль trailing RH (R1),SKU-1008-LH,RH,trailing,False,66.1,6.7,8.2,2.26,3.63,1.38,R1,R1,46.6,70,158.2,96.6
SKU-1009-LH,Важіль straight_link LH (R1),SKU-1009-RH,LH,straight_link,True,29.4,6.5,6.6,1.17,1.26,1.32,R1,R1,31.0,47,55.0,62.0
SKU-1009-RH,Важіль straight_link RH (R1),SKU-1009-LH,RH,straight_link,True,29.4,6.5,6.6,1.17,1.26,1.32,R1,R1,30.4,46,53.8,60.7
SKU-1010-LH,Важіль straight_link LH (R1),SKU-1010-RH,LH,straight_link,False,26.7,5.2,4.2,0.71,0.58,0.16,R1,R1,36.5,55,39.0,8.8
SKU-1010-RH,Важіль straight_link RH (R1),SKU-1010-LH,RH,straight_link,False,26.7,5.2,4.2,0.71,0.58,0.16,R1,R1,36.2,55,39.0,8.8
SKU-1011-LH,Важіль curved LH (R1),SKU-1011-RH,LH,curved,False,33.6,11.4,9.3,2.97,3.56,1.5,R1,R1,41.0,62,184.1,93.0
SKU-1011-RH,Важіль curved RH (R1),SKU-1011-LH,RH,curved,False,33.6,11.4,9.3,2.97,3.56,1.5,R1,R1,40.1,61,181.2,91.5
SKU-1012-LH,Важіль straight_link LH (R1),SKU-1012-RH,LH,straight_link,False,24.0,4.1,4.4,0.43,0.43,0.12,R1,R1,40.8,62,26.7,7.4
SKU-1012-RH,Важіль straight_link RH (R1),SKU-1012-LH,RH,straight_link,False,24.0,4.1,4.4,0.43,0.43,0.12,R1,R1,41.5,63,27.1,7.6
SKU-1013-LH,Важіль straight_link LH (R1),SKU-1013-RH,LH,straight_link,False,21.5,5.4,6.6,0.63,0.77,0.22,R1,R1,30.9,47,29.6,10.3
SKU-1013-RH,Важіль straight_link RH (R1),SKU-1013-LH,RH,straight_link,False,21.5,5.4,6.6,0.63,0.77,0.22,R1,R1,30.5,46,29.0,10.1
SKU-1014-LH,Важіль curved LH (R1),SKU-1014-RH,LH,curved,False,38.9,17.6,10.2,3.05,6.98,2.93,R1,R1,34.4,52,158.6,152.4
SKU-1014-RH,Важіль curved RH (R1),SKU-1014-LH,RH,curved,False,38.9,17.6,10.2,3.05,6.98,2.93,R1,R1,33.5,51,155.5,149.4
